date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:27	13344/13344	---M--	404	error ('Not%20Found')	text/html	etag:%221adf9e6-3420-52211e2a%22	http://home.earthlink.net/robots.txt		(from )
19:17:28	22724/22724	---M--	200	added ('OK')	text/html	etag:%221245406-58c4-54b65b69%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/index.html	(from )
19:17:28	7084/7084	---M--	200	added ('OK')	image/jpeg	etag:%22266299-1bac-3e53ddb6%22	http://home.earthlink.net/imagelib/sitebuilder/layout/mkg_dashedstar_1.jpg	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/imagelib/sitebuilder/layout/mkg_dashedstar_1.jpg	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:28	67/67	---M--	200	added ('OK')	image/gif	etag:%222664c4-43-3e53ddb4%22	http://home.earthlink.net/imagelib/sitebuilder/layout/spacer.gif	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/imagelib/sitebuilder/layout/spacer.gif	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:29	2437/2437	---M--	200	added ('OK')	image/gif	etag:%2226629b-985-3e53ddb6%22	http://home.earthlink.net/imagelib/sitebuilder/layout/mkg_dashedstar_2.gif	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/imagelib/sitebuilder/layout/mkg_dashedstar_2.gif	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:29	22724/22724	---M--	200	added ('OK')	text/html	etag:%221245406-58c4-54b65b69%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/index.html	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/index-2.html	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:29	25699/25699	---M--	200	added ('OK')	text/html	etag:%2282efe7-6463-54b65b6a%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/id4.html	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/id4.html	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:30	29850/29850	---M--	200	added ('OK')	text/html	etag:%2282efdd-749a-54b65b6a%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/id43.html	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/id43.html	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:31	19370/19370	---M--	200	added ('OK')	text/html	etag:%2282efeb-4baa-54b65b6b%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/id5.html	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/id5.html	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
19:17:32	25004/25004	---M--	200	added ('OK')	text/html	etag:%2282efe0-61ac-54b65b6a%22	http://home.earthlink.net/~seegreet/bergerpicardcaspian/id2.html	C:/My%20Web%20Sites/actual%20dog%20site/home.earthlink.net/_seegreet/bergerpicardcaspian/id2.html	(from http://home.earthlink.net/~seegreet/bergerpicardcaspian/)
